Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"06037101110","Census Tract 1011.10, Los Angeles County, California","ACSSF","ca","140","00","0004200",,,,,"06","037",,,"101110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101110","Census Tract 1011.10",,,,1494,54,126,49,33,61,6,60,85,43,149,105,146,210,134,143,90,3.61,8.43,3.28,2.21,4.08,0.4,4.02,5.69,2.88,9.97,7.03,9.77,14.06,8.97,9.57,6.02
"06037101122","Census Tract 1011.22, Los Angeles County, California","ACSSF","ca","140","00","0004201",,,,,"06","037",,,"101122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101122","Census Tract 1011.22",,,,1372,88,0,7,42,50,36,0,13,0,37,200,158,126,194,168,253,6.41,0,0.51,3.06,3.64,2.62,0,0.95,0,2.7,14.58,11.52,9.18,14.14,12.24,18.44
"06037101220","Census Tract 1012.20, Los Angeles County, California","ACSSF","ca","140","00","0004202",,,,,"06","037",,,"101220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101220","Census Tract 1012.20",,,,1357,78,82,28,102,7,86,43,55,36,189,89,134,116,60,140,112,5.75,6.04,2.06,7.52,0.52,6.34,3.17,4.05,2.65,13.93,6.56,9.87,8.55,4.42,10.32,8.25
"06037101221","Census Tract 1012.21, Los Angeles County, California","ACSSF","ca","140","00","0004203",,,,,"06","037",,,"101221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101221","Census Tract 1012.21",,,,1450,76,107,118,148,0,81,111,27,97,112,32,193,207,33,108,0,5.24,7.38,8.14,10.21,0,5.59,7.66,1.86,6.69,7.72,2.21,13.31,14.28,2.28,7.45,0
"06037101222","Census Tract 1012.22, Los Angeles County, California","ACSSF","ca","140","00","0004204",,,,,"06","037",,,"101222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101222","Census Tract 1012.22",,,,935,161,167,34,41,19,116,0,86,14,35,44,96,9,81,0,32,17.22,17.86,3.64,4.39,2.03,12.41,0,9.2,1.5,3.74,4.71,10.27,0.96,8.66,0,3.42
"06037101300","Census Tract 1013, Los Angeles County, California","ACSSF","ca","140","00","0004205",,,,,"06","037",,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101300","Census Tract 1013",,,,1420,68,27,37,15,43,44,41,16,14,40,123,132,188,161,221,250,4.79,1.9,2.61,1.06,3.03,3.1,2.89,1.13,0.99,2.82,8.66,9.3,13.24,11.34,15.56,17.61
"06037101400","Census Tract 1014, Los Angeles County, California","ACSSF","ca","140","00","0004206",,,,,"06","037",,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101400","Census Tract 1014",,,,1304,7,98,57,176,29,25,25,45,63,82,68,92,208,59,173,97,0.54,7.52,4.37,13.5,2.22,1.92,1.92,3.45,4.83,6.29,5.21,7.06,15.95,4.52,13.27,7.44
"06037102103","Census Tract 1021.03, Los Angeles County, California","ACSSF","ca","140","00","0004207",,,,,"06","037",,,"102103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102103","Census Tract 1021.03",,,,669,24,0,33,40,13,101,46,0,37,12,59,46,39,114,65,40,3.59,0,4.93,5.98,1.94,15.1,6.88,0,5.53,1.79,8.82,6.88,5.83,17.04,9.72,5.98
"06037102104","Census Tract 1021.04, Los Angeles County, California","ACSSF","ca","140","00","0004208",,,,,"06","037",,,"102104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102104","Census Tract 1021.04",,,,1310,54,74,11,18,18,0,59,125,18,40,89,209,185,113,92,205,4.12,5.65,0.84,1.37,1.37,0,4.5,9.54,1.37,3.05,6.79,15.95,14.12,8.63,7.02,15.65
"06037102105","Census Tract 1021.05, Los Angeles County, California","ACSSF","ca","140","00","0004209",,,,,"06","037",,,"102105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102105","Census Tract 1021.05",,,,554,5,21,13,6,45,0,20,13,21,74,25,145,20,18,80,48,0.9,3.79,2.35,1.08,8.12,0,3.61,2.35,3.79,13.36,4.51,26.17,3.61,3.25,14.44,8.66
"06037102107","Census Tract 1021.07, Los Angeles County, California","ACSSF","ca","140","00","0004210",,,,,"06","037",,,"102107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102107","Census Tract 1021.07",,,,1204,18,43,45,51,9,0,30,0,25,108,180,120,108,148,136,183,1.5,3.57,3.74,4.24,0.75,0,2.49,0,2.08,8.97,14.95,9.97,8.97,12.29,11.3,15.2
"06037103101","Census Tract 1031.01, Los Angeles County, California","ACSSF","ca","140","00","0004211",,,,,"06","037",,,"103101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103101","Census Tract 1031.01",,,,915,7,14,6,69,19,43,0,0,10,77,47,96,73,129,148,177,0.77,1.53,0.66,7.54,2.08,4.7,0,0,1.09,8.42,5.14,10.49,7.98,14.1,16.17,19.34
"06037103102","Census Tract 1031.02, Los Angeles County, California","ACSSF","ca","140","00","0004212",,,,,"06","037",,,"103102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103102","Census Tract 1031.02",,,,1651,59,91,12,45,48,117,76,19,37,148,170,334,112,157,85,141,3.57,5.51,0.73,2.73,2.91,7.09,4.6,1.15,2.24,8.96,10.3,20.23,6.78,9.51,5.15,8.54
"06037103201","Census Tract 1032.01, Los Angeles County, California","ACSSF","ca","140","00","0004213",,,,,"06","037",,,"103201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103201","Census Tract 1032.01",,,,1530,45,73,140,42,41,54,0,53,68,113,59,228,239,100,193,82,2.94,4.77,9.15,2.75,2.68,3.53,0,3.46,4.44,7.39,3.86,14.9,15.62,6.54,12.61,5.36
"06037103202","Census Tract 1032.02, Los Angeles County, California","ACSSF","ca","140","00","0004214",,,,,"06","037",,,"103202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103202","Census Tract 1032.02",,,,660,0,0,0,42,0,12,27,47,0,0,12,48,247,45,59,121,0,0,0,6.36,0,1.82,4.09,7.12,0,0,1.82,7.27,37.42,6.82,8.94,18.33
